id;nombre;modelo;precio;vendido;fechaventa
1;gold;Internal;45821;true;2020-01-20
2;Marketing Gloves;deposit;32161;true;2020-01-19
3;Focused bypass;SMS Communications Somali Shilling;31172;false;2020-01-19
4;indexing;Auto Loan Account compressing radic;14537;true;2020-01-19
5;Wisconsin Berkshire;Lempira Senior calculate;70472;false;2020-01-20
6;Optional;viral frame;32498;false;2020-01-20
7;Coordinator;Burgs connecting;34977;true;2020-01-20
8;Fresh quantifying Danish Krone;Kiribati;681;true;2020-01-19
9;invoice granular Money Market Accou;projection;85254;true;2020-01-19
10;input Borders Gorgeous Wooden Soap;Unbranded Metal Hat PCI;75110;true;2020-01-19
